NAMELSAD10,Longitude,Latitude,Electricity,Fertilizer,Food_Production,Food_waste,Natural_Gas,Pet_waste,Pet_food_production,Transportation,Wastewater
Census Tract 3204,-86.08275,39.87492,41661.9,5614.3,4065020,46396.3,77933.5,17.2,19.3,7054.9,175
Census Tract 3205,-86.11029,39.87598,43404.6,5244.1,4252591,48537.1,83471.9,18,20.2,5444.6,201.3
Census Tract 3206,-86.12969,39.88126,35151.1,4590.4,3508168,40040.6,75286.3,14.8,16.7,6251.5,140.8
Census Tract 3207,-86.14835,39.87647,34238.1,2107.6,3317666,37866.3,61366.7,14,15.8,3848.3,121.4
Census Tract 3208,-86.15609,39.89479,34500.1,6210.8,3437828,39237.8,72669.8,14.5,16.3,12979.9,180.9
Census Tract 3209.01,-86.17688,39.88544,78939.4,5147.7,7523364,85868.2,126844.5,31.8,35.8,13646.1,420.2
Census Tract 3209.02,-86.19326,39.89159,52043.5,984.7,4923744,56197.3,80023,20.8,23.4,5006.9,257.5
Census Tract 3209.03,-86.1959,39.87752,48714.4,1534.3,4821166,55026.6,99408.7,20.4,22.9,5396.2,306.8
Census Tract 3210.01,-86.20278,39.8615,31885.2,1513.3,3112510,35524.7,60409.9,13.1,14.8,4440.4,178.3
Census Tract 3210.02,-86.20264,39.83771,52592.6,4937.5,5169931,59007.2,103543.3,21.8,24.6,9566.5,296.6
Census Tract 3211,-86.17685,39.85527,44619.7,9316.7,4407923,50310,89574,18.6,21,7903.1,212.9
Census Tract 3212,-86.15048,39.86227,61024.5,3670.1,6069687,69276.6,127205.8,25.6,28.9,12214.2,305.7
Census Tract 3213,-86.13174,39.86563,42284,1740.2,4132428,47165.6,79562.4,17.4,19.6,5250.7,169.3
Census Tract 3214,-86.10476,39.85904,73687,6406.9,7242007,82656.9,145600.3,30.6,34.4,14689.9,323.5
Census Tract 3216,-86.09638,39.84774,70156.6,5429.6,6863934,78341.8,133253,29,32.6,12101.7,351.2
Census Tract 3217,-86.12907,39.8532,63314.7,4373.7,6236742,71183.3,125442.2,26.3,29.6,6322.9,256
Census Tract 3218,-86.15334,39.85029,47006.9,2527,4701003,53655.1,101124.1,19.8,22.3,8828.5,214.7
Census Tract 3219,-86.16451,39.83983,36771.8,3396.9,3692808,42148,81252.2,15.6,17.6,6818.1,355.2
Census Tract 3220,-86.16831,39.82932,38594,3868.1,3845210,43887.4,80069.7,16.2,18.3,5127.3,208.3
Census Tract 3221,-86.14769,39.82897,27917.3,1482.5,2810637,32079.3,61675.2,11.9,13.4,3848.2,168.3
Census Tract 3222,-86.14711,39.83617,23769.4,1480.3,2394464,27329.3,53187.9,10.1,11.4,3848.2,136.4
Census Tract 3223,-86.14755,39.84325,29973.3,1658.5,3007001,34320.5,65895.7,12.7,14.3,6031.9,148.2
Census Tract 3224,-86.13097,39.84393,42085.2,1927.7,4155874,47433.2,84349.5,17.5,19.8,4515.6,177.1
Census Tract 3225,-86.13221,39.83362,23447.9,2779.7,2332917,26626.8,48793.6,9.8,11.1,3848.2,94.5
Census Tract 3226,-86.11259,39.83097,58203.8,3174.3,5594897,63857.6,99922.8,23.6,26.6,3848.2,234.9
Census Tract 3227,-86.09387,39.83118,24331.2,1721.8,2438426,27831.1,52612.1,10.3,11.6,3848.3,115.1
Census Tract 3301.03,-86.05064,39.91979,80426.7,4133.1,7453024,85065.4,109723.7,31.5,35.4,51749.3,286.9
Census Tract 3301.05,-86.05592,39.89681,78798.4,4913.2,7605426,86804.8,139566.6,32.1,36.2,51749.3,304.3
Census Tract 3301.06,-86.04108,39.90003,77202,1692.3,7318208,83526.6,119838.4,30.9,34.8,51749.3,247.8
Census Tract 3301.07,-86.01819,39.88868,75655.1,3378.7,7344585,83827.7,138030.3,31,34.9,51749.4,373.6
Census Tract 3301.08,-85.99407,39.91505,44153.4,2703.2,4378615,49975.5,90807,18.5,20.8,51749.3,235
Census Tract 3301.09,-86.01962,39.91614,68102.1,3247.2,6342251,72387.5,95900.4,26.8,30.1,51749.3,294
Census Tract 3302.02,-85.96427,39.83804,130790.9,4243,12309360,140493.4,196572.8,52,58.5,17577.1,710
Census Tract 3302.03,-85.96447,39.91475,61634.1,6234.1,6134164,70012.5,129580.6,25.9,29.2,51749.3,363.2
Census Tract 3302.04,-85.98177,39.87726,63432.2,12009.4,6160542,70313.6,116711.7,26,29.3,17257,400.5
Census Tract 3302.06,-85.94763,39.90211,55045.5,5806.4,5316471,60679.8,97980.1,22.4,25.3,9809.6,312.3
Census Tract 3302.08,-85.97018,39.89608,38997.4,3900.2,3681085,42014.2,60073.5,15.5,17.5,5839.7,176
Census Tract 3302.09,-85.95793,39.87604,104682.9,12161.9,10134706,115672.9,186425,42.8,48.2,20418.3,577.7
Census Tract 3304.01,-86.06039,39.87291,67552.8,10311.3,6608954,75431.6,130189.6,27.9,31.4,14410.3,391
Census Tract 3305,-86.06517,39.84769,80289.1,7140.3,7992292,91220.3,163791.5,33.7,38,9820,408.8
Census Tract 3306,-86.03682,39.84777,63809.1,3955.6,6213296,70915.7,118921.6,26.2,29.5,6267.6,391.5
Census Tract 3307,-86.00603,39.84636,77786.8,3222.7,7379754,84229.1,124798.6,31.2,35.1,6496.5,344.2
Census Tract 3308.03,-86.00055,39.82984,36795.7,580.6,3613676,41244.8,71003.4,15.3,17.2,51749.3,231.2
Census Tract 3308.04,-86.00068,39.83717,36472.2,611.4,3514029,40107.5,64101.2,14.8,16.7,51749.3,186.2
Census Tract 3308.05,-86.03363,39.83327,38993.8,2393,3710393,42348.7,63439.6,15.7,17.6,5839.7,151.1
Census Tract 3308.06,-86.01585,39.83292,47437.4,891.6,4709796,53755.4,97223.7,19.9,22.4,51749.3,250.3
Census Tract 3309,-86.05546,39.83301,70120.5,3916.1,6943065,79244.9,141874.5,29.3,33,4845.7,373.6
Census Tract 3310,-86.07434,39.83292,48365.4,3935,4815304,54959.7,101891.1,20.3,22.9,4850.7,234.9
Census Tract 3401.01,-86.31493,39.76946,42344.7,2660.1,4106051,46864.6,77608.3,17.3,19.5,51749.3,242.4
Census Tract 3401.02,-86.29605,39.76983,52703.9,1438.5,4900298,55929.7,72936.4,20.7,23.3,51749.4,225.7
Census Tract 3401.08,-86.27284,39.81219,27847.1,1829,2699267,30808.2,50646,11.4,12.8,51749.3,148.1
Census Tract 3401.09,-86.28283,39.81269,14672.7,1056.9,1412646,16123.3,25788.9,6,6.7,51749.3,72.5
Census Tract 3401.10,-86.29015,39.81933,71532.4,1956.8,6497584,74160.4,83288.1,27.4,30.9,51749.3,291.8
Census Tract 3401.11,-86.29811,39.79451,30931.5,3255.6,2945454,33618.1,49827.1,12.4,14,51749.3,234.1
Census Tract 3401.12,-86.30155,39.81201,77299.9,2188.7,7271315,82991.4,113907.9,30.7,34.6,51749.3,310.2
Census Tract 3401.13,-86.31493,39.78611,50057.8,1292.6,4659972,53186.8,69185.7,19.7,22.2,51749.4,258.6
Census Tract 3401.14,-86.319,39.80506,45500.9,2875.9,4422577,50477.3,83969.4,18.7,21,10522.1,237.7
Census Tract 3402.01,-86.26302,39.81644,30462,2100,3024586,34521.2,63542.7,12.8,14.4,4643.3,213.9
Census Tract 3402.02,-86.25988,39.80175,50233.9,2218.9,4876851,55662.1,92417.6,20.6,23.2,5197.2,256
Census Tract 3403,-86.24775,39.81326,82784.5,1710.8,7971776,90986.2,144815.2,33.7,37.9,7524.5,539.9
Census Tract 3404,-86.23295,39.81673,35171,651.3,3455413,39438.5,68441.9,14.6,16.4,3848.3,221.9
Census Tract 3405,-86.21297,39.81862,54146.9,1058.5,5087869,58070.6,80526.5,21.5,24.2,5322,348.4
